domain,method,seen,unseen,H-mean
neutral -> old,CCVAE,82.78 ± 7.47,19.76 ± 9.36,26.68 ± 12.17
neutral -> old,our_GRE,75.93 ± 7.55,36.60 ± 17.42,35.62 ± 16.01
neutral -> old,TUPL,84.91 ± 5.22,37.98 ± 12.96,45.84 ± 10.52
neutral -> old,our_TUPL_interp_src2tgt,89.06 ± 3.57,42.62 ± 8.04,54.88 ± 7.78
neutral -> proud,base,97.22 ± 2.06,31.34 ± 13.69,39.23 ± 16.04
neutral -> proud,VisTA,65.67 ± 13.48,44.41 ± 15.43,33.50 ± 11.79
neutral -> proud,CCVAE,95.54 ± 2.83,29.82 ± 14.02,36.93 ± 16.82
neutral -> proud,our_GRE,93.45 ± 2.52,34.43 ± 14.21,42.60 ± 15.35
neutral -> proud,TUPL,98.61 ± 0.88,69.62 ± 9.49,79.68 ± 6.35
neutral -> proud,our_TUPL_interp_src2tgt,96.53 ± 2.26,69.36 ± 8.75,79.02 ± 5.74
neutral -> strutting,base,88.61 ± 7.94,29.41 ± 13.93,36.15 ± 16.57
neutral -> strutting,VisTA,60.42 ± 9.36,45.80 ± 8.53,45.70 ± 7.12
neutral -> strutting,CCVAE,80.69 ± 8.98,29.05 ± 13.68,35.49 ± 16.29
neutral -> strutting,our_GRE,80.69 ± 8.98,34.93 ± 15.63,41.37 ± 16.30
neutral -> strutting,TUPL,95.90 ± 2.79,40.55 ± 9.44,54.17 ± 9.01
neutral -> strutting,our_TUPL_interp_src2tgt,93.13 ± 2.73,49.81 ± 14.04,59.19 ± 13.67
old -> angry,base,81.48 ± 8.69,12.25 ± 7.68,17.64 ± 10.01
old -> angry,VisTA,36.69 ± 6.29,31.10 ± 12.98,18.98 ± 7.19
old -> angry,CCVAE,76.20 ± 9.31,9.56 ± 7.30,12.92 ± 8.86
old -> angry,our_GRE,72.87 ± 9.27,22.53 ± 10.14,27.37 ± 12.37
old -> angry,TUPL,96.22 ± 1.79,40.17 ± 6.98,54.91 ± 7.38
old -> angry,our_TUPL_interp_src2tgt,94.58 ± 3.56,48.72 ± 13.10,57.70 ± 11.45
old -> childlike,base,81.75 ± 9.34,14.02 ± 6.35,20.65 ± 9.05
old -> childlike,VisTA,53.67 ± 14.08,26.74 ± 9.66,21.01 ± 7.71
old -> childlike,CCVAE,80.56 ± 10.02,10.09 ± 5.56,15.51 ± 8.07
old -> childlike,our_GRE,80.56 ± 10.02,21.52 ± 9.33,27.89 ± 11.74
old -> childlike,TUPL,94.44 ± 1.76,50.26 ± 7.85,63.93 ± 7.39
old -> childlike,our_TUPL_interp_src2tgt,89.55 ± 3.13,57.70 ± 9.70,67.39 ± 8.19
old -> depressed,base,86.93 ± 4.38,12.01 ± 6.66,17.43 ± 8.76
old -> depressed,VisTA,52.07 ± 15.42,31.47 ± 13.96,15.77 ± 6.60
old -> depressed,CCVAE,70.20 ± 9.17,9.47 ± 6.61,12.11 ± 7.20
old -> depressed,our_GRE,72.59 ± 8.40,20.61 ± 9.41,25.19 ± 11.41
old -> depressed,TUPL,93.33 ± 3.39,35.91 ± 11.87,47.35 ± 12.01
old -> depressed,our_TUPL_interp_src2tgt,92.08 ± 2.85,39.91 ± 11.40,50.90 ± 11.49
old -> neutral,base,88.82 ± 3.82,8.64 ± 6.52,12.54 ± 8.61
old -> neutral,VisTA,36.55 ± 10.54,40.86 ± 12.56,26.03 ± 9.50
old -> neutral,CCVAE,76.50 ± 9.19,7.10 ± 7.10,7.67 ± 7.67
old -> neutral,our_GRE,81.90 ± 6.27,20.08 ± 9.69,26.02 ± 12.04
old -> neutral,TUPL,93.08 ± 1.85,47.11 ± 9.34,59.44 ± 8.91
old -> neutral,our_TUPL_interp_src2tgt,93.79 ± 2.25,36.04 ± 9.51,47.92 ± 11.58
old -> proud,base,80.36 ± 9.39,14.04 ± 6.91,19.43 ± 8.91
old -> proud,VisTA,52.68 ± 10.75,26.39 ± 7.00,26.78 ± 6.19
old -> proud,CCVAE,75.00 ± 11.18,10.53 ± 6.51,13.67 ± 7.34
old -> proud,our_GRE,75.00 ± 11.18,27.77 ± 13.46,27.95 ± 12.61
old -> proud,TUPL,92.41 ± 2.16,63.02 ± 5.34,74.21 ± 4.01
old -> proud,our_TUPL_interp_src2tgt,97.22 ± 2.06,54.85 ± 10.00,67.00 ± 8.08
