,domain,method,seen,unseen,H-mean
118,old -> strutting,Our,71.67 ± 10.14,16.84 ± 8.30,20.65 ± 9.41
119,old -> strutting,Our+GRE,71.67 ± 10.14,16.31 ± 8.17,20.12 ± 9.23
120,proud -> angry,Base,82.05 ± 8.09,35.86 ± 17.12,37.02 ± 16.29
121,proud -> angry,GZSDA,78.15 ± 8.58,32.84 ± 16.42,33.13 ± 14.95
122,proud -> angry,Our,71.88 ± 10.17,35.09 ± 16.62,32.41 ± 13.45
123,proud -> angry,Our+GRE,71.88 ± 10.17,34.39 ± 16.46,32.09 ± 13.35
124,proud -> childlike,Base,72.57 ± 8.86,32.02 ± 15.86,31.21 ± 14.12
125,proud -> childlike,GZSDA,68.75 ± 9.61,31.30 ± 15.69,29.49 ± 13.38
126,proud -> childlike,Our,68.75 ± 9.61,32.75 ± 16.21,30.27 ± 13.70
127,proud -> childlike,Our+GRE,67.36 ± 9.77,32.75 ± 16.21,30.27 ± 13.70
128,proud -> depressed,Base,79.81 ± 8.97,20.39 ± 9.25,26.10 ± 11.68
129,proud -> depressed,GZSDA,78.22 ± 9.50,19.20 ± 8.68,24.63 ± 11.02
130,proud -> depressed,Our,72.84 ± 11.66,26.67 ± 12.09,27.52 ± 12.57
131,proud -> depressed,Our+GRE,71.65 ± 11.16,26.96 ± 12.37,27.44 ± 12.49
132,proud -> neutral,Base,78.29 ± 9.25,32.46 ± 16.14,32.47 ± 14.68
133,proud -> neutral,GZSDA,77.10 ± 9.68,31.62 ± 15.85,31.53 ± 14.37
134,proud -> neutral,Our,73.20 ± 10.41,35.00 ± 16.94,30.87 ± 13.85
135,proud -> neutral,Our+GRE,72.44 ± 10.11,32.46 ± 16.14,29.81 ± 13.48
136,proud -> old,Base,75.81 ± 10.07,21.88 ± 9.79,26.34 ± 11.89
137,proud -> old,GZSDA,74.88 ± 10.38,21.88 ± 9.79,25.99 ± 11.75
138,proud -> old,Our,72.77 ± 11.34,25.00 ± 11.18,27.14 ± 12.46
139,proud -> old,Our+GRE,72.92 ± 10.42,25.36 ± 11.35,27.96 ± 12.73
140,proud -> strutting,Base,69.72 ± 9.72,25.00 ± 11.18,29.18 ± 13.18
141,proud -> strutting,GZSDA,66.67 ± 10.54,24.47 ± 10.94,27.44 ± 12.51
142,proud -> strutting,Our,62.50 ± 12.50,28.68 ± 13.24,25.63 ± 12.08
143,proud -> strutting,Our+GRE,64.58 ± 11.37,30.64 ± 14.60,28.08 ± 12.78
144,strutting -> angry,Base,66.67 ± 10.54,45.66 ± 12.38,44.84 ± 9.62
145,strutting -> angry,GZSDA,66.67 ± 10.54,35.89 ± 14.11,36.74 ± 10.64
146,strutting -> angry,Our,62.62 ± 9.87,50.00 ± 12.91,45.05 ± 9.27
147,strutting -> angry,Our+GRE,61.43 ± 9.37,50.00 ± 12.91,44.71 ± 9.14
148,strutting -> childlike,Base,66.67 ± 10.54,38.93 ± 12.34,40.21 ± 9.01
149,strutting -> childlike,GZSDA,63.54 ± 8.90,32.72 ± 13.70,33.80 ± 9.38
150,strutting -> childlike,Our,56.25 ± 9.41,47.74 ± 12.65,40.69 ± 8.15
151,strutting -> childlike,Our+GRE,55.21 ± 10.00,47.96 ± 12.65,39.54 ± 8.07
152,strutting -> depressed,Base,65.27 ± 10.41,22.62 ± 12.00,23.34 ± 10.66
153,strutting -> depressed,GZSDA,63.60 ± 9.38,23.17 ± 12.45,23.41 ± 10.73
154,strutting -> depressed,Our,56.40 ± 9.36,31.04 ± 15.20,25.01 ± 9.89
155,strutting -> depressed,Our+GRE,56.40 ± 9.36,30.68 ± 15.14,24.80 ± 9.80
156,strutting -> neutral,Base,66.67 ± 10.54,47.22 ± 12.49,45.44 ± 9.54
157,strutting -> neutral,GZSDA,66.67 ± 10.54,41.36 ± 13.01,41.68 ± 9.37
158,strutting -> neutral,Our,58.10 ± 11.29,48.77 ± 12.68,40.09 ± 8.68
159,strutting -> neutral,Our+GRE,55.71 ± 10.66,48.15 ± 12.70,38.98 ± 8.29
160,strutting -> old,Base,68.96 ± 9.41,9.68 ± 5.29,13.58 ± 6.69
161,strutting -> old,GZSDA,66.88 ± 8.50,10.62 ± 5.12,15.06 ± 6.92
162,strutting -> old,Our,63.12 ± 8.00,30.05 ± 13.03,30.62 ± 10.59
163,strutting -> old,Our+GRE,60.42 ± 8.18,30.41 ± 13.33,30.37 ± 10.54
164,strutting -> proud,Base,75.00 ± 11.18,37.50 ± 13.31,39.63 ± 9.24
165,strutting -> proud,GZSDA,66.67 ± 10.54,28.95 ± 15.51,27.52 ± 12.62
166,strutting -> proud,Our,64.58 ± 9.36,49.56 ± 12.92,46.36 ± 9.71
167,strutting -> proud,Our+GRE,64.58 ± 9.36,49.12 ± 12.92,46.13 ± 9.70
